Geneid,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000142611,50,65,7,6,40,14,12,54
ENSG00000284616,0,0,0,0,0,0,0,0
ENSG00000157911,1721,2249,3911,4418,435,191,290,765
ENSG00000260972,0,0,0,0,0,0,0,0
ENSG00000224340,0,0,0,0,0,0,0,0
ENSG00000229280,0,0,0,1,0,0,0,0
ENSG00000142655,800,819,679,1151,351,113,103,314
ENSG00000232596,0,0,0,0,0,0,0,0
ENSG00000231510,0,0,0,0,0,0,0,0
ENSG00000149527,309,339,239,236,14,5,7,6
ENSG00000171621,251,327,218,269,1275,374,344,923
ENSG00000272235,0,0,0,0,1,0,0,2
ENSG00000284694,1,0,1,0,0,0,0,0
ENSG00000224387,6,0,2,3,0,0,0,0
ENSG00000142583,4,10,8,5,2,3,0,1
ENSG00000284674,0,0,0,0,0,0,0,0
ENSG00000224338,0,0,0,0,0,0,0,0
ENSG00000287727,0,0,0,0,0,0,0,0
ENSG00000173614,587,743,895,976,288,109,128,320
ENSG00000215720,0,0,0,0,0,0,0,0
ENSG00000241326,0,0,0,0,0,0,0,0
ENSG00000233623,0,0,0,0,0,0,0,0
ENSG00000204624,18,11,2,4,6,4,6,7
ENSG00000142606,220,243,184,299,1,1,0,0
ENSG00000225931,0,0,0,0,0,0,0,1
ENSG00000171729,156,211,219,251,545,175,198,558
ENSG00000229393,2,9,1,3,0,0,0,1
ENSG00000287586,0,0,0,0,0,0,0,0
ENSG00000227169,0,0,0,0,0,0,0,0
ENSG00000283356,0,0,0,0,0,0,0,0
ENSG00000157916,3805,4453,5285,6552,1799,671,781,1882
ENSG00000157881,889,874,790,1066,472,144,261,635
ENSG00000225387,0,0,0,0,0,0,0,0
ENSG00000048707,3692,3895,2564,2733,2502,843,752,1979
ENSG00000225196,0,0,0,0,0,0,0,0
ENSG00000162444,8,8,32,55,117,36,43,117
ENSG00000279625,0,0,0,0,0,0,0,0
ENSG00000180758,389,456,413,738,585,207,251,582
ENSG00000184677,1604,1775,1415,1645,605,187,218,616
ENSG00000285833,0,0,0,0,0,0,0,0
ENSG00000131697,789,897,506,753,201,105,101,223
ENSG00000280222,0,0,0,1,0,0,0,0
ENSG00000285945,3,2,0,0,0,0,0,0
ENSG00000197921,2,0,0,2,0,0,0,0
ENSG00000284666,0,0,0,0,0,0,0,0
ENSG00000228943,0,0,0,0,0,0,0,0
ENSG00000234397,4,4,2,7,8,0,0,1
ENSG00000204138,2505,2907,2239,2652,1687,563,604,1731
ENSG00000233419,0,0,0,0,0,0,0,0
ENSG00000225011,0,0,0,0,0,0,0,0
ENSG00000284676,0,0,0,0,0,0,0,0
ENSG00000090020,2419,2556,1732,2744,890,315,148,395
ENSG00000158006,684,781,723,855,348,113,199,482
ENSG00000214812,0,0,0,0,3,2,0,5
ENSG00000196581,0,0,4,0,0,0,0,0
ENSG00000169403,0,2,10,16,75,42,30,96
ENSG00000171612,1606,1765,1602,2350,91,49,61,178
ENSG00000270927,0,0,0,0,0,1,0,0
ENSG00000188910,0,0,0,0,665,228,67,174
ENSG00000230523,4,6,9,12,0,0,0,0
ENSG00000158161,907,1216,1547,1727,793,281,366,967
ENSG00000233234,0,0,0,0,0,0,0,0
ENSG00000189337,174,187,260,397,110,57,75,173
ENSG00000028137,3,8,9,24,3,1,5,5
ENSG00000283259,2,1,0,0,0,0,0,0
ENSG00000130939,3112,3490,3855,4588,1456,460,496,1368
ENSG00000175147,32,35,47,58,6,5,6,19
ENSG00000127472,200,178,75,92,0,2,1,1
ENSG00000060656,2741,3037,1332,1812,294,111,135,366
ENSG00000230214,0,0,0,0,0,0,0,0
ENSG00000189280,0,1,1,0,0,1,0,1
