Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR7179504_pass	64.91350014502532	46.0	76.0	76	20.0	13548432.0
SRR7179505_pass	64.9383865288582	46.0	76.0	76	20.0	13318850.0
SRR7179506_pass	65.13547468642787	46.0	76.0	76	20.0	14053964.0
SRR7179507_pass	64.57218833081849	46.0	76.0	76	20.0	14058372.0
SRR7179508_pass	65.03644527933531	46.0	76.0	76	20.0	16425378.0
SRR7179509_pass	65.10196280846154	46.0	76.0	76	20.0	16189859.0
SRR7179510_pass	65.26425276343083	47.0	76.0	76	20.0	17029831.0
SRR7179511_pass	64.54051988232493	47.0	76.0	76	20.0	17089748.0
SRR7179520_pass	61.78711177012461	46.0	76.0	76	20.0	12393333.0
SRR7179521_pass	61.8861695116789	46.0	76.0	76	20.0	12212468.0
SRR7179522_pass	62.05140067826817	46.0	76.0	76	20.0	12860684.0
SRR7179523_pass	61.52762600667253	46.0	76.0	76	20.0	12898013.0
SRR7179524_pass	63.4006213662025	46.0	76.0	76	20.0	14096421.0
SRR7179525_pass	63.4476704863715	46.0	76.0	76	20.0	13894054.0
SRR7179526_pass	63.69141886731883	46.0	76.0	76	20.0	14608319.0
SRR7179527_pass	63.02891761107119	46.0	76.0	76	20.0	14634981.0
SRR7179536_pass	83.75153657168597	50.0	58.0	58	36.36363636363637	26140310.0
SRR7179537_pass	87.80534602896805	49.0	58.0	58	36.36363636363637	76117196.0
SRR7179540_pass	84.749022963158	48.0	58.0	58	45.45454545454545	72087256.0
SRR7179541_pass	78.27597966046154	48.0	58.0	58	45.45454545454545	24017740.0
