Module	Section	Sample Name	Source
FastQC	all_sections	SRR7179524_pass	/home/tiasha/bulk_rnaseq_work/fastqc_results/SRR7179524_pass_fastqc.zip
FastQC	all_sections	SRR7179508_pass	/home/tiasha/bulk_rnaseq_work/fastqc_results/SRR7179508_pass_fastqc.zip
FastQC	all_sections	SRR7179541_pass	/home/tiasha/bulk_rnaseq_work/fastqc_results/SRR7179541_pass_fastqc.zip
FastQC	all_sections	SRR7179505_pass	/home/tiasha/bulk_rnaseq_work/fastqc_results/SRR7179505_pass_fastqc.zip
FastQC	all_sections	SRR7179540_pass	/home/tiasha/bulk_rnaseq_work/fastqc_results/SRR7179540_pass_fastqc.zip
FastQC	all_sections	SRR7179523_pass	/home/tiasha/bulk_rnaseq_work/fastqc_results/SRR7179523_pass_fastqc.zip
FastQC	all_sections	SRR7179525_pass	/home/tiasha/bulk_rnaseq_work/fastqc_results/SRR7179525_pass_fastqc.zip
FastQC	all_sections	SRR7179511_pass	/home/tiasha/bulk_rnaseq_work/fastqc_results/SRR7179511_pass_fastqc.zip
FastQC	all_sections	SRR7179520_pass	/home/tiasha/bulk_rnaseq_work/fastqc_results/SRR7179520_pass_fastqc.zip
FastQC	all_sections	SRR7179522_pass	/home/tiasha/bulk_rnaseq_work/fastqc_results/SRR7179522_pass_fastqc.zip
FastQC	all_sections	SRR7179506_pass	/home/tiasha/bulk_rnaseq_work/fastqc_results/SRR7179506_pass_fastqc.zip
FastQC	all_sections	SRR7179521_pass	/home/tiasha/bulk_rnaseq_work/fastqc_results/SRR7179521_pass_fastqc.zip
FastQC	all_sections	SRR7179507_pass	/home/tiasha/bulk_rnaseq_work/fastqc_results/SRR7179507_pass_fastqc.zip
FastQC	all_sections	SRR7179504_pass	/home/tiasha/bulk_rnaseq_work/fastqc_results/SRR7179504_pass_fastqc.zip
FastQC	all_sections	SRR7179537_pass	/home/tiasha/bulk_rnaseq_work/fastqc_results/SRR7179537_pass_fastqc.zip
FastQC	all_sections	SRR7179510_pass	/home/tiasha/bulk_rnaseq_work/fastqc_results/SRR7179510_pass_fastqc.zip
FastQC	all_sections	SRR7179509_pass	/home/tiasha/bulk_rnaseq_work/fastqc_results/SRR7179509_pass_fastqc.zip
FastQC	all_sections	SRR7179536_pass	/home/tiasha/bulk_rnaseq_work/fastqc_results/SRR7179536_pass_fastqc.zip
FastQC	all_sections	SRR7179526_pass	/home/tiasha/bulk_rnaseq_work/fastqc_results/SRR7179526_pass_fastqc.zip
FastQC	all_sections	SRR7179527_pass	/home/tiasha/bulk_rnaseq_work/fastqc_results/SRR7179527_pass_fastqc.zip
